Num_Acc;id_Date;loc;atm;col;dep
201200000163;20120703;1;1;6;59
201200000164;20120909;1;1;1;59
201200000165;20121220;1;2;2;59
201200000166;20120220;5;1;1;59
201200000167;20120318;5;1;5;59
201200000168;20120401;1;1;2;59
201200000169;20120515;5;4;6;59
201200000170;20120708;1;2;7;59
201200000171;20120904;3;1;7;59
201200000172;20121120;1;1;5;59
201200000173;20120309;4;1;6;59
201200000174;20120312;4;1;6;59
201200000175;20120511;1;1;7;59
201200000176;20120528;1;1;5;59
201200000177;20120908;2;1;3;59
201200000178;20120126;1;2;7;59
201200000179;20120128;1;1;1;59
201200000180;20120722;1;1;1;59
201200000181;20121213;1;2;6;59
201200000182;20120112;1;1;7;62
201200000183;20120630;1;1;6;62
201200000184;20120917;1;1;3;62
201200000185;20121112;1;1;6;62
201200000186;20121230;1;4;6;62
201200000187;20120216;1;1;6;62
201200000188;20120718;1;1;7;62
201200000189;20120412;1;1;3;62
201200000190;20120607;2;1;3;62
201200000191;20120616;1;1;1;62
201200000192;20120803;1;1;7;62
201200000193;20120927;3;1;6;62
201200000194;20121030;1;1;1;62
201200000195;20120125;1;2;1;62
201200000196;20120128;1;1;1;62
201200000197;20120315;1;1;6;62
201200000198;20120325;4;1;6;62
201200000199;20120616;1;1;6;62
201200000200;20120703;1;1;1;62
201200000201;20120714;1;2;6;62
201200000202;20120722;1;7;7;62
201200000203;20120907;1;1;5;62
201200000204;20120924;1;1;6;62
201200000205;20120928;1;1;1;62
201200000206;20120118;1;2;6;62
201200000207;20120314;2;1;6;62
201200000208;20120322;1;1;6;62
201200000209;20120617;1;1;7;62
201200000210;20120716;1;9;3;62
201200000211;20120927;1;1;7;62
201200000212;20121123;1;2;3;62
201200000213;20121215;1;1;6;62
201200000214;20120615;1;2;3;62
201200000215;20121003;1;2;6;62
201200000216;20120116;3;7;6;62
201200000217;20120301;1;1;1;62
201200000218;20120611;5;1;3;62
201200000219;20120621;2;1;1;62
201200000220;20121031;1;1;3;62
201200000221;20120407;4;1;7;62
201200000222;20120420;1;7;1;62
201200000223;20120602;1;1;3;62
201200000224;20120214;3;1;6;62
201200000225;20120214;3;1;1;62
201200000226;20120216;1;8;3;62
201200000227;20120226;1;1;1;62
201200000228;20120310;1;1;6;62
201200000229;20120322;1;7;1;62
201200000230;20120330;4;1;3;62
201200000231;20120724;1;1;5;62
201200000232;20120724;1;1;6;62
201200000233;20120908;1;7;3;62
201200000234;20120915;1;1;7;62
201200000235;20121028;3;2;1;62
201200000236;20121110;3;8;6;62
201200000237;20121124;1;1;7;62
201200000238;20121217;4;2;6;62
201200000239;20120403;1;1;1;62
201200000240;20120713;1;1;3;62
201200000241;20120720;1;1;3;62
201200000242;20120725;1;1;1;62
201200000243;20120803;1;1;1;62
201200000244;20120812;3;1;3;62
201200000245;20120930;4;1;3;62
201200000246;20120401;1;1;3;62
201200000247;20120421;3;3;7;62
201200000248;20120411;1;1;3;62
201200000249;20120507;3;1;3;62
201200000250;20120505;4;2;3;62
201200000251;20120620;5;1;6;62
201200000252;20121025;1;5;6;62
201200000253;20121215;1;8;1;62
201200000254;20121218;1;2;1;62
201200000255;20120129;3;5;3;62
201200000256;20120129;1;1;6;62
201200000257;20120313;1;1;6;62
201200000258;20120804;1;2;6;62
201200000259;20120825;3;1;1;62
201200000260;20120106;5;1;6;62
201200000261;20120129;5;5;6;62
201200000262;20120216;5;1;1;62
201200000263;20120507;5;1;3;62
201200000264;20120725;1;1;6;62
201200000265;20121230;1;8;3;62
201200000266;20121230;1;3;6;62
201200000267;20120119;3;2;6;62
201200000268;20120131;1;1;2;62
201200000269;20120430;3;8;6;62
201200000270;20120513;1;1;6;62
201200000271;20120606;1;1;6;62
201200000272;20120617;3;1;6;62
201200000273;20120725;1;1;6;62
201200000274;20121130;3;2;6;62
201200000275;20121201;1;5;6;62
201200000276;20121223;2;2;6;62
201200000277;20120110;5;1;6;62
201200000278;20120217;5;1;1;62
201200000279;20120719;5;1;6;62
201200000280;20120723;1;1;6;62
201200000281;20120731;1;1;7;62
201200000282;20120824;3;1;6;62
201200000283;20121205;1;2;6;62
201200000284;20121217;1;8;3;62
201200000285;20121231;5;2;6;62
201200000286;20120320;1;1;3;62
201200000287;20120328;3;5;6;62
201200000288;20120408;1;1;7;62
201200000289;20120413;1;1;1;62
201200000290;20120424;1;2;1;62
201200000291;20120901;1;1;6;62
201200000292;20121013;1;1;1;62
201200000293;20121024;1;1;3;62
201200000294;20121208;1;1;3;62
201200000295;20120310;1;1;6;62
201200000296;20120509;1;2;6;62
201200000297;20120610;1;1;1;62
201200000298;20120904;1;1;7;62
201200000299;20121109;1;1;7;62
201200000300;20121222;1;3;3;62
201200000301;20120128;1;1;7;62
201200000302;20120222;1;1;2;62
201200000303;20120504;1;8;5;62
201200000304;20120603;3;2;7;62
201200000305;20120613;4;1;2;62
201200000306;20120629;4;1;1;62
201200000307;20121014;1;1;1;62
201200000308;20121111;4;1;6;62
201200000309;20121225;1;2;1;62
201200000310;20120417;3;2;6;62
201200000311;20120527;1;1;5;62
201200000312;20120626;2;1;6;62
201200000313;20120728;1;1;2;62
201200000314;20120823;2;1;6;62
201200000315;20120911;1;8;7;62
201200000316;20120103;1;6;1;62
201200000317;20120211;1;1;6;62
201200000318;20120512;3;1;3;62
201200000319;20120701;1;1;1;62
201200000320;20120721;2;1;3;62
201200000321;20120720;1;1;3;62
201200000322;20121001;2;1;3;62
201200000323;20121024;1;1;6;62
201200000324;20121229;1;1;6;62
201200000325;20120302;4;1;6;62
201200000326;20121117;1;5;1;62
201200000327;20121117;4;1;6;62
201200000328;20120113;5;7;1;80
201200000329;20120308;1;1;6;80
201200000330;20120603;1;2;3;80
201200000331;20121021;3;1;3;80
201200000332;20120504;1;5;1;80
201200000333;20120506;1;8;1;80
201200000334;20120126;1;2;1;80
201200000335;20120119;3;1;7;80
201200000336;20120217;1;1;6;80
201200000337;20120304;1;5;1;80
201200000338;20120305;1;3;6;80
201200000339;20120316;1;1;7;80
201200000340;20120511;1;1;6;80
201200000341;20121021;1;5;1;80
201200000342;20120205;1;4;7;80
201200000343;20120219;1;1;3;80
201200000344;20120416;1;1;7;80
201200000345;20120921;3;1;3;80
201200000346;20120928;1;1;7;80
201200000347;20120927;1;1;6;80
201200000348;20120104;3;6;1;80
201200000349;20120127;2;2;6;80
201200000350;20120219;3;1;6;80
201200000351;20120304;3;1;6;80
